,code,sri_score,country,fragile_state_score,year,population,sdg_index_score,1no_poverty,2no_hunger,3health_wellbeing,4quality_education,5gender_equality,6cleanwater_sanitation,7affordable_clean_energy,8work_economy_growth,9industry_innov_infrast,10reduced_inequalities,11cities_communities,12consumption_production,13climate,14life_below_water,15life_on_land,16peace_justice_stroninstitutions,17partnership_for_goals,tourism_score_x,global_score,global_rank,tourism_score_y,global_score_2,global_rank_2
152,UGA,47.74999999999999,Uganda,23.44537815126051,2020.0,43685863.0,53.5,23.4,66.6,49.3,40.2,65.5,47.4,38.2,67.9,27.6,39.7,42.1,96.3,99.4,,62.0,43.8,46.8,52.02857142857143,41.56512605042017,153,46.019727891156464,39.071702014138985,154
153,FSM,,Micronesia,41.1764705882353,,,,,,,,,,,,,,,,,,,,,,41.1764705882353,154,,41.1764705882353,146
154,ZWE,48.875,Zimbabwe,18.65546218487395,2020.0,15505226.0,54.3,20.1,47.2,41.5,62.0,77.0,51.1,41.6,62.9,25.4,24.0,60.0,94.6,94.3,,76.4,44.6,46.0,49.957142857142856,40.61015406162465,155,49.68775510204081,39.072739095638255,153
155,MOZ,46.75,Mozambique,21.596638655462186,2020.0,30720752.0,52.8,1.3,53.3,34.1,54.1,64.8,54.7,35.6,66.0,13.5,12.7,64.4,97.9,98.3,72.0,63.5,50.2,60.4,46.37142857142857,40.38221288515406,156,43.65850340136054,37.335047352274245,157
156,ETH,48.87499999999999,Ethiopia,17.39495798319328,2020.0,115638360.0,53.7,38.6,53.5,48.3,34.1,57.5,38.7,34.1,65.7,25.7,71.7,55.7,98.8,98.2,,57.6,38.1,42.6,57.05714285714286,39.98998599439776,157,53.09047619047618,39.786811391223154,150
157,CMR,43.99999999999999,Cameroon,20.168067226890756,2020.0,26137129.0,54.7,46.9,61.0,40.2,48.2,55.8,56.0,49.1,66.4,29.6,23.1,40.0,96.4,98.1,73.7,64.2,38.1,43.9,49.5,39.62268907563025,158,46.01632653061225,36.728131252500994,160
158,AGO,40.25,Angola,26.806722689075634,2020.0,32898997.0,50.8,31.1,55.1,35.1,42.2,49.8,54.3,43.6,58.7,13.5,16.5,43.2,94.1,96.3,67.5,66.2,44.0,51.9,43.84285714285715,39.285574229691875,159,41.86462585034013,36.307116179805256,162
159,MLI,42.625,Mali,17.983193277310928,2020.0,20886781.0,56.7,41.6,62.1,39.5,10.6,58.9,61.7,34.5,70.8,20.8,68.9,57.9,94.5,99.0,,85.2,54.0,47.5,55.91428571428572,39.102731092436976,160,50.564625850340136,37.05760637588369,158
160,NGA,44.25000000000001,Nigeria,19.159663865546218,2020.0,205780595.0,53.3,38.9,60.9,36.1,38.8,41.0,59.7,25.0,65.8,39.2,72.8,25.0,95.7,96.8,62.1,74.6,37.3,37.3,51.52857142857143,38.903221288515404,161,45.904761904761905,36.43814192343604,161
161,COG,39.125,Republic of the Congo,23.361344537815125,2020.0,5635288.0,52.1,21.2,52.8,43.9,47.2,54.6,52.0,44.1,52.3,6.3,19.9,49.2,95.3,92.1,71.9,83.0,50.6,49.7,43.97142857142858,38.195448179271715,162,38.39251700680272,33.62628718153928,169
162,NER,45.625,Niger,20.84033613445378,2020.0,23881690.0,46.8,12.2,44.9,37.7,2.8,38.9,43.3,10.9,67.8,11.2,63.2,47.4,96.2,99.5,,73.9,49.6,48.7,48.24285714285715,37.75511204481793,163,44.19455782312925,36.88663131919434,159
163,BDI,39.625,Burundi,20.67226890756302,2020.0,12053897.0,52.8,0.0,58.4,48.3,48.2,60.5,55.2,19.3,54.9,12.2,58.4,60.0,96.6,99.8,,72.4,49.1,52.0,50.41428571428571,37.69908963585434,164,47.576190476190476,35.9578197945845,163
