,country,units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
292,OMAN,Thousands,1 407,1 101,1 385,1 360,1 540,1 584,1 500,1 393,1 714,1 923,2 225,2 634,3 207,3 178,3 242,3 506,869,652,2 920
294,PAKISTAN,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
296,PALAU,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
298,PANAMA,Thousands,1 004,1 070,1 215,1 428,1 575,1 562,1 726,2 004,2 086,2 202,2 305,2 553,2 379,2 517,2 487,2 494,647,804,1 946
300,PAPUA NEW GUINEA,Thousands,..,..,..,..,120,126,146,165,175,182,191,199,198,182,195,211,39,17,69
302,PARAGUAY,Thousands,2 589,2 648,2 830,3 005,3 118,3 183,3 171,3 365,3 655,3 538,3 455,4 102,4 318,4 744,4 183,4 368,1 077,571,1 548
304,PERU,Thousands,1 650,1 938,2 227,2 451,2 581,2 681,2 948,3 299,3 642,4 010,4 062,4 381,4 718,4 992,5 384,5 275,1 119,444,2 279
306,PHILIPPINES,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
308,POLAND,Thousands,61 918,64 606,65 115,66 208,59 935,53 840,58 340,60 745,67 390,72 310,73 750,77 743,80 476,83 804,85 946,88 515,51 076,51 026,71 814
310,PORTUGAL,Thousands,21 165,21 173,22 588,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
312,PUERTO RICO,Thousands,4 889,5 073,5 022,5 062,5 213,4 415,4 379,4 214,4 197,4 210,4 456,5 051,5 003,4 927,4 260,4 931,3 882,2 755,3 638
314,QATAR,Thousands,..,..,..,..,..,1 482,1 700,2 057,2 324,2 612,2 839,2 941,2 938,2 256,1 819,2 137,582,611,2 560
316,REUNION,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,551,574,601,255,..,..
318,ROMANIA,Thousands,6 600,5 839,6 037,7 722,8 862,7 575,7 498,7 611,7 937,8 019,8 442,9 331,10 223,10 926,11 720,12 815,5 023,6 789,12 697
320,RUSSIAN FEDERATION,Thousands,22 064,22 201,22 486,22 909,23 676,21 339,22 281,24 932,28 177,30 792,32 421,33 729,24 571,24 390,24 551,24 419,6 359,..,..
322,RWANDA,Thousands,..,..,531,610,669,664,667,908,1 061,1 122,1 220,1 298,1 377,1 570,1 711,1 634,497,511,..
324,SABA,Thousands,"23,2","24,9","22,9","21,7","22,5","23,7","22,5",..,..,..,..,..,..,..,..,..,..,..,..
326,SAINT KITTS AND NEVIS,Thousands,383,365,350,379,533,548,624,723,666,695,818,1 036,1 055,1 194,1 278,1 107,301,123,589
328,SAINT LUCIA,Thousands,791,720,670,905,925,982,984,950,889,921,987,1 031,948,1 064,1 165,1 220,433,297,714
330,SAINT VINCENT AND THE GRENADINES,Thousands,262,256,306,328,250,271,231,208,200,200,205,207,227,304,356,399,155,57,210
332,SAMOA,Thousands,..,..,116,122,122,129,130,128,135,125,132,139,146,158,172,181,24,3,51
334,SAN MARINO,Thousands,2 812,2 107,2 136,2 164,2 112,2 056,1 976,2 038,1 869,1 905,2 004,1 888,2 000,1 937,1 874,1 904,1 015,1 354,..
336,SAO TOME AND PRINCIPE,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
338,SAUDI ARABIA,Thousands,11 083,10 417,10 962,13 479,17 717,13 319,13 025,15 776,19 847,19 934,23 010,21 834,20 887,18 607,17 570,20 292,4 882,3 869,18 256
340,SENEGAL,Thousands,677,779,876,879,877,815,906,977,967,1 069,976,1 014,1 219,1 376,..,..,..,..,..
342,SERBIA,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
344,SERBIA AND MONTENEGRO,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
346,SEYCHELLES,Thousands,126,135,151,171,173,178,191,210,216,237,239,296,333,382,405,428,125,183,339
348,SIERRA LEONE,Thousands,..,..,..,..,..,..,..,..,75,95,53,31,60,59,66,71,26,44,..
350,SINGAPORE,Thousands,8 329,8 943,9 751,10 285,10 116,9 683,11 642,13 171,14 496,15 568,15 095,15 232,16 403,17 425,18 508,19 116,2 742,330,6 306
352,SINT EUSTATIUS,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
354,SINT MAARTEN (DUTCH PART),Thousands,1 823,1 956,1 890,1 891,1 821,1 655,1 956,2 080,2 210,2 253,2 502,2 407,2 197,1 640,1 775,1 952,542,482,1 217
