Unnamed: 0,country,units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
224,"MACAO, CHINA",Thousands,16673.0,18711.0,21998.0,27003.0,22933.0,21753.0,24965.0,28002.0,28082.0,29325.0,31526.0,30715.0,30950.0,32611.0,35804.0,39406.0,5897.0,7706.0,5700.0
226,MADAGASCAR,Thousands,,,,,,,,,,,,282.0,333.0,285.0,360.0,486.0,87.0,8.0,
228,MALAWI,Thousands,,,,,,,,,,,,,,,,,,,
230,MALAYSIA,Thousands,24432.0,24209.0,25298.0,28325.0,25321.0,31509.0,,,,,,,,,,35046.0,6102.0,399.0,19016.0
232,MALDIVES,Thousands,,,,,,,,,,,,,,,,,,,
234,MALI,Thousands,,,,,,,,,,,,,,,,,,,
236,MALTA,Thousands,1428.0,1484.0,1521.0,1723.0,1832.0,1608.0,1815.0,1916.0,2007.0,2013.0,2162.0,2383.0,2592.0,2944.0,3232.0,3519.0,718.0,1110.0,2776.0
238,MARSHALL ISLANDS,Thousands,,,,,,,,,,,,,6.5,7.9,,,2.0,,
240,MARTINIQUE,Thousands,630.0,577.0,599.0,573.0,568.0,511.0,553.0,538.0,603.0,622.0,696.0,762.0,842.0,1003.0,1002.0,919.0,524.0,312.0,661.0
242,MAURITANIA,Thousands,,,,,,,,,,,,,,,,,,,
244,MAURITIUS,Thousands,739.0,782.0,807.0,933.0,970.0,890.0,956.0,983.0,984.0,1015.0,1065.0,1174.0,1307.0,1371.0,1431.0,1418.0,316.0,180.0,1003.0
246,MEXICO,Thousands,99250.0,103146.0,97701.0,93582.0,92948.0,88044.0,81953.0,75732.0,76749.0,78100.0,81042.0,87129.0,94853.0,99349.0,96497.0,97406.0,51128.0,55301.0,65995.0
248,"MICRONESIA, FEDERATED STATES OF",Thousands,,,,,,,,,,,,,,,,,,,
250,"MOLDOVA, REPUBLIC OF",Thousands,,,,,,,,,,,,,,,,,,,
252,MONACO,Thousands,,,,,,,,,,,,,,,,,,,
254,MONGOLIA,Thousands,305.0,345.0,408.0,455.0,469.0,465.0,557.0,627.0,624.0,515.0,506.0,467.0,471.0,543.0,598.0,637.0,67.0,39.0,301.0
256,MONTENEGRO,Thousands,,,,,,,,,,,,,,,,,,,
258,MONTSERRAT,Thousands,15.2,13.1,9.5,8.7,8.4,7.3,7.7,7.4,9.9,8.7,10.7,13.3,13.5,18.6,16.7,19.3,7.7,1.6,
260,MOROCCO,Thousands,5732.0,6077.0,6777.0,7701.0,8209.0,8661.0,9752.0,9784.0,9830.0,10349.0,10507.0,10542.0,10677.0,11540.0,12489.0,13109.0,2802.0,3722.0,10968.0
262,MOZAMBIQUE,Thousands,711.0,954.0,1095.0,1259.0,1439.0,1711.0,1836.0,2013.0,2206.0,1970.0,1751.0,1634.0,1715.0,1514.0,2870.0,2033.0,959.0,549.0,879.0
264,MYANMAR,Thousands,,,,,,,,,,,,,,,,,,,
266,NAMIBIA,Thousands,986.0,856.0,961.0,1048.0,1079.0,1100.0,1114.0,1163.0,1245.0,1327.0,1429.0,1488.0,1551.0,1581.0,1639.0,1651.0,187.0,261.0,528.0
268,NAURU,Thousands,,,,,,,,,,,,,,,,,,,
270,NEPAL,Thousands,,,,,,,,,,,,,,,,,,,
272,NETHERLANDS,Thousands,,,,,,,,,,,,,,,,,,,
274,NEW CALEDONIA,Thousands,177.0,182.0,219.0,227.0,256.0,230.0,282.0,348.0,390.0,494.0,529.0,558.0,625.0,626.0,576.0,474.0,79.0,,139.0
276,NEW ZEALAND,Thousands,2334.0,2366.0,2409.0,2455.0,2483.0,2473.0,2530.0,2617.0,2574.0,2710.0,2854.0,3129.0,3494.0,3723.0,3858.0,3888.0,996.0,207.0,1434.0
278,NICARAGUA,Thousands,735.0,804.0,891.0,978.0,1011.0,1010.0,1071.0,1122.0,1233.0,1273.0,1390.0,1456.0,1596.0,1958.0,1412.0,1455.0,474.0,312.0,933.0
280,NIGER,Thousands,,,,,,,,,,,,,,,,,,,
282,NIGERIA,Thousands,2646.0,2778.0,3056.0,5239.0,5820.0,6053.0,6113.0,3765.0,4673.0,4038.0,4803.0,6017.0,5265.0,5182.0,5254.0,5361.0,1209.0,1246.0,1271.0
284,NIUE,Thousands,,,,,,,,,,,,,,11.6,,,,,
286,NORTH MACEDONIA,Thousands,,,,,,,,,,,,,,,,,,,
288,NORTHERN MARIANA ISLANDS,Thousands,536.0,507.0,436.0,389.0,397.0,354.0,379.0,341.0,401.0,439.0,460.0,479.0,531.0,660.0,518.0,487.0,89.0,13.0,97.0
290,NORWAY,Thousands,5130.0,5418.0,5738.0,6017.0,6054.0,6114.0,6578.0,6693.0,,,,,,,,,,,
292,OMAN,Thousands,1407.0,1101.0,1385.0,1360.0,1540.0,1584.0,1500.0,1393.0,1714.0,1923.0,2225.0,2634.0,3207.0,3178.0,3242.0,3506.0,869.0,652.0,2920.0
294,PAKISTAN,Thousands,,,,,,,,,,,,,,,,,,,
296,PALAU,Thousands,,,,,,,,,,,,,,,,,,,
298,PANAMA,Thousands,1004.0,1070.0,1215.0,1428.0,1575.0,1562.0,1726.0,2004.0,2086.0,2202.0,2305.0,2553.0,2379.0,2517.0,2487.0,2494.0,647.0,804.0,1946.0
300,PAPUA NEW GUINEA,Thousands,,,,,120.0,126.0,146.0,165.0,175.0,182.0,191.0,199.0,198.0,182.0,195.0,211.0,39.0,17.0,69.0
302,PARAGUAY,Thousands,2589.0,2648.0,2830.0,3005.0,3118.0,3183.0,3171.0,3365.0,3655.0,3538.0,3455.0,4102.0,4318.0,4744.0,4183.0,4368.0,1077.0,571.0,1548.0
304,PERU,Thousands,1650.0,1938.0,2227.0,2451.0,2581.0,2681.0,2948.0,3299.0,3642.0,4010.0,4062.0,4381.0,4718.0,4992.0,5384.0,5275.0,1119.0,444.0,2279.0
306,PHILIPPINES,Thousands,,,,,,,,,,,,,,,,,,,
308,POLAND,Thousands,61918.0,64606.0,65115.0,66208.0,59935.0,53840.0,58340.0,60745.0,67390.0,72310.0,73750.0,77743.0,80476.0,83804.0,85946.0,88515.0,51076.0,51026.0,71814.0
310,PORTUGAL,Thousands,21165.0,21173.0,22588.0,,,,,,,,,,,,,,,,
312,PUERTO RICO,Thousands,4889.0,5073.0,5022.0,5062.0,5213.0,4415.0,4379.0,4214.0,4197.0,4210.0,4456.0,5051.0,5003.0,4927.0,4260.0,4931.0,3882.0,2755.0,3638.0
314,QATAR,Thousands,,,,,,1482.0,1700.0,2057.0,2324.0,2612.0,2839.0,2941.0,2938.0,2256.0,1819.0,2137.0,582.0,611.0,2560.0
316,REUNION,Thousands,,,,,,,,,,,,,,551.0,574.0,601.0,255.0,,
318,ROMANIA,Thousands,6600.0,5839.0,6037.0,7722.0,8862.0,7575.0,7498.0,7611.0,7937.0,8019.0,8442.0,9331.0,10223.0,10926.0,11720.0,12815.0,5023.0,6789.0,12697.0
320,RUSSIAN FEDERATION,Thousands,22064.0,22201.0,22486.0,22909.0,23676.0,21339.0,22281.0,24932.0,28177.0,30792.0,32421.0,33729.0,24571.0,24390.0,24551.0,24419.0,6359.0,,
322,RWANDA,Thousands,,,531.0,610.0,669.0,664.0,667.0,908.0,1061.0,1122.0,1220.0,1298.0,1377.0,1570.0,1711.0,1634.0,497.0,511.0,
324,SABA,Thousands,23.2,24.9,22.9,21.7,22.5,23.7,22.5,,,,,,,,,,,,
326,SAINT KITTS AND NEVIS,Thousands,383.0,365.0,350.0,379.0,533.0,548.0,624.0,723.0,666.0,695.0,818.0,1036.0,1055.0,1194.0,1278.0,1107.0,301.0,123.0,589.0
328,SAINT LUCIA,Thousands,791.0,720.0,670.0,905.0,925.0,982.0,984.0,950.0,889.0,921.0,987.0,1031.0,948.0,1064.0,1165.0,1220.0,433.0,297.0,714.0
330,SAINT VINCENT AND THE GRENADINES,Thousands,262.0,256.0,306.0,328.0,250.0,271.0,231.0,208.0,200.0,200.0,205.0,207.0,227.0,304.0,356.0,399.0,155.0,57.0,210.0
332,SAMOA,Thousands,,,116.0,122.0,122.0,129.0,130.0,128.0,135.0,125.0,132.0,139.0,146.0,158.0,172.0,181.0,24.0,3.0,51.0
334,SAN MARINO,Thousands,2812.0,2107.0,2136.0,2164.0,2112.0,2056.0,1976.0,2038.0,1869.0,1905.0,2004.0,1888.0,2000.0,1937.0,1874.0,1904.0,1015.0,1354.0,
336,SAO TOME AND PRINCIPE,Thousands,,,,,,,,,,,,,,,,,,,
338,SAUDI ARABIA,Thousands,11083.0,10417.0,10962.0,13479.0,17717.0,13319.0,13025.0,15776.0,19847.0,19934.0,23010.0,21834.0,20887.0,18607.0,17570.0,20292.0,4882.0,3869.0,18256.0
340,SENEGAL,Thousands,677.0,779.0,876.0,879.0,877.0,815.0,906.0,977.0,967.0,1069.0,976.0,1014.0,1219.0,1376.0,,,,,
342,SERBIA,Thousands,,,,,,,,,,,,,,,,,,,
344,SERBIA AND MONTENEGRO,Thousands,,,,,,,,,,,,,,,,,,,
346,SEYCHELLES,Thousands,126.0,135.0,151.0,171.0,173.0,178.0,191.0,210.0,216.0,237.0,239.0,296.0,333.0,382.0,405.0,428.0,125.0,183.0,339.0
348,SIERRA LEONE,Thousands,,,,,,,,,75.0,95.0,53.0,31.0,60.0,59.0,66.0,71.0,26.0,44.0,
