countrie;del;total_arrivals;del1;del2;Units;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;4;4;3;1;1;1;1;..;..;..;..;..
SAO TOME AND PRINCIPE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;10,6;15,8;12,3;11,8;14,5;15,2;8,0;12,2;..;..;..;25,6;28,9;28,9;33,4;34,9;10,7;15,1;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SAUDI ARABIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;11 083;10 417;10 962;13 479;17 717;13 319;13 025;15 776;19 847;19 934;23 010;21 834;20 887;18 607;17 570;20 292;4 882;3 869;18 256
;;;Overnights visitors (tourists);;Thousands;8 599;8 037;8 620;11 531;14 757;10 897;10 850;14 179;16 332;15 772;18 260;17 994;18 044;16 109;15 334;17 526;4 138;3 477;16 638
;;;Same-day visitors (excursionists);;Thousands;2 484;2 380;2 342;1 948;2 960;2 422;2 175;1 597;3 515;4 162;4 750;3 840;2 843;2 498;2 236;2 767;744;392;1 618
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SENEGAL;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;677;779;876;879;877;815;906;977;967;1 069;976;1 014;1 219;1 376;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;667;769;866;875;867;810;900;968;962;1 063;963;1 007;1 210;1 365;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;10;9;10;4;10;5;6;9;5;6;13;8;9;11;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;10;9;10;4;10;5;6;9;5;6;13;8;9;11;..;..;..;..;..
SERBIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;392;453;469;696;646;645;683;764;810;922;1 029;1 132;1 281;1 497;1 711;1 847;446;871;1 773
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SERBIA AND MONTENEGRO;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SEYCHELLES;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;126;135;151;171;173;178;191;210;216;237;239;296;333;382;405;428;125;183;339
;;;Overnights visitors (tourists);;Thousands;121;129;141;161;159;158;175;194;208;230;233;276;303;350;362;384;115;183;332
;;;Same-day visitors (excursionists);;Thousands;5;6;10;10;14;20;16;16;8;7;6;20;30;32;43;44;20;..;7
;;;;of which, cruise passengers;Thousands;5;6;10;10;14;20;16;16;8;7;6;20;30;32;43;44;20;..;7
SIERRA LEONE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;75;95;53;31;60;59;66;71;26;44;..
;;;Overnights visitors (tourists);;Thousands;44;40;34;32;36;37;39;52;60;81;44;24;55;51;57;63;24;40;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;15;14;9;7;5;8;9;8;2;4;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;1;2;1;2;2;2;2;3;1;2;..
SINGAPORE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;8 329;8 943;9 751;10 285;10 116;9 683;11 642;13 171;14 496;15 568;15 095;15 232;16 403;17 425;18 508;19 116;2 742;330;6 306
;;;Overnights visitors (tourists);;Thousands;6 553;7 079;7 588;7 957;7 778;7 488;9 161;10 390;11 098;11 899;11 864;12 052;12 913;13 903;14 673;15 119;2 086;325;5 344
;;;Same-day visitors (excursionists);;Thousands;1 776;1 864;2 163;2 328;2 338;2 194;2 481;2 781;3 398;3 669;3 231;3 180;3 490;3 521;3 835;3 997;657;5;961
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SINT EUSTATIUS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;11,1;10,4;9,6;11,6;11,8;12,0;11,4;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SINT MAARTEN (DUTCH PART);;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 823;1 956;1 890;1 891;1 821;1 655;1 956;2 080;2 210;2 253;2 502;2 407;2 197;1 640;1 775;1 952;542;482;1 217
;;;Overnights visitors (tourists);;Thousands;475;468;468;469;475;440;443;424;457;467;500;505;528;402;178;320;106;249;373
;;;Same-day visitors (excursionists);;Thousands;1 348;1 488;1 422;1 422;1 346;1 215;1 513;1 656;1 753;1 786;2 002;1 902;1 669;1 238;1 597;1 632;436;233;844
;;;;of which, cruise passengers;Thousands;1 348;1 488;1 422;1 422;1 346;1 215;1 513;1 656;1 753;1 786;2 002;1 902;1 669;1 238;1 597;1 632;436;233;844
SLOVAKIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;12 583;11 556;14 936;17 376;15 406;15 299;16 086;..;..;..
;;;Overnights visitors (tourists);;Thousands;1 401;1 515;1 612;1 685;1 767;1 298;1 327;1 460;1 528;4 291;3 998;4 869;5 734;5 546;5 453;5 630;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;8 292;7 558;10 067;11 642;9 860;9 846;10 456;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SLOVENIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;63 013;60 230;58 274;61 293;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;1 499;1 555;1 617;1 751;1 958;1 824;2 049;2 236;2 377;2 502;2 675;3 022;3 397;3 991;4 425;4 702;1 216;1 832;3 936
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SOLOMON ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;6;9;12;14;16;18;21;23;24;24;20;22;23;26;28;29;4;0,7;..
;;;Same-day visitors (excursionists);;Thousands;..;1;1;1;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SOMALIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SOUTH AFRICA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;6 815;7 518;8 509;9 208;9 729;9 532;11 303;12 097;13 069;14 318;14 530;13 952;15 121;14 975;15 004;14 797;3 887;2 664;7 342
;;;Overnights visitors (tourists);;Thousands;6 678;7 369;8 396;9 091;9 592;7 012;8 074;8 339;9 188;9 537;9 549;8 904;10 044;10 285;10 472;10 228;2 802;2 256;5 698
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;2 520;3 229;3 758;3 881;4 781;4 980;5 048;5 077;4 690;4 532;4 569;1 084;408;1 644
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SOUTH SUDAN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SPAIN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;85 981;92 563;96 152;98 907;97 670;91 899;93 744;99 187;98 128;103 231;107 144;109 834;115 561;121 717;124 456;126 170;36 410;51 631;104 968
;;;Overnights visitors (tourists);;Thousands;52 430;55 914;58 004;58 666;57 192;52 178;52 677;56 177;57 464;60 675;64 939;68 175;75 315;81 869;82 808;83 509;18 933;31 181;71 659
;;;Same-day visitors (excursionists);;Thousands;33 551;36 649;38 148;40 241;40 478;39 722;41 067;43 010;40 664;42 555;42 206;41 659;40 246;39 849;41 647;42 661;17 477;20 450;33 309
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;3 047;2 924;3 085;3 564;..;479;2 541
SRI LANKA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;681;669;689;592;526;538;766;976;1 133;1 415;1 665;1 993;2 168;2 248;2 521;2 027;540;195;759
;;;Overnights visitors (tourists);;Thousands;566;549;560;494;438;448;654;856;1 006;1 275;1 527;1 798;2 051;2 116;2 334;1 914;508;194;720
;;;Same-day visitors (excursionists);;Thousands;115;120;129;98;88;90;112;120;127;140;138;195;117;131;187;113;32;0,6;38,8
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
STATE OF PALESTINE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;928;1 487;1 740;2 821;2 730;3 051;2 874;2 907;2 054;2 231;3 192;3 429;4 232;1 000;..;..
;;;Overnights visitors (tourists);;Thousands;56;88;123;264;387;396;522;449;490;545;556;432;400;929;985;1 110;170;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;664;1 100;1 344;2 299;2 281;2 561;2 329;2 351;1 622;1 831;2 263;2 444;3 122;830;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SUDAN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;61;246;328;436;440;420;495;536;575;591;684;741;800;813;836;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SURINAME;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;154;167;151;151;206;221;240;250;253;229;257;279;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;138;161;154;167;151;151;205;220;240;249;252;228;256;278;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;0,3;0,4;0,3;0,3;0,5;0,3;0,3;0,7;0,8;0,8;0,9;0,9;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SWEDEN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;19 405;20 011;18 803;19 945;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;4 676;4 883;4 729;5 224;4 555;4 899;5 183;11 567;12 372;10 980;10 522;6 482;6 782;7 054;7 440;7 616;1 957;2 990;6 629
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;7 838;7 639;7 823;9 423;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;223;335;443;467;..;..;..;..;..;..;..;..
SWITZERLAND;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;..;7 229;7 863;8 448;8 608;8 294;8 628;8 534;8 566;8 967;9 158;9 305;10 402;11 133;11 715;11 818;3 690;4 390;9 160
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SYRIAN ARAB REPUBLIC;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;6 334;5 859;5 682;5 434;6 951;7 721;10 970;6 476;..;..;..;..;1 043;1 291;1 802;2 424;479;661;..
;;;Overnights visitors (tourists);;Thousands;3 399;3 571;4 231;4 158;5 430;6 092;8 546;5 070;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;2 935;2 288;1 451;1 276;1 521;1 629;2 424;1 406;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
TAIWAN PROVINCE OF CHINA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;2 950;3 378;3 520;3 716;3 845;4 395;5 567;6 087;7 311;8 016;9 910;10 440;10 690;10 740;11 067;11 864;1 378;140;896
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
TAJIKISTAN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;325;207;160;183;244;208;213;414;344;431;1 035;1 257;351;296;..
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
TANZANIA, UNITED REPUBLIC OF;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;583;613;644;719;770;714;783;868;1 077;1 096;1 140;1 137;1 284;1 327;1 506;1 527;621;1 027;..
;;;Overnights visitors (tourists);;Thousands;566;590;622;692;750;695;754;843;1 043;1 063;1 113;1 104;1 233;1 275;1 378;1 443;592;923;1 455
;;;Same-day visitors (excursionists);;Thousands;17;23;22;27;20;19;29;25;34;33;27;33;51;52;128;84;29;104;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
THAILAND;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;11 737;11 567;13 822;14 464;14 584;14 150;15 936;19 230;22 354;26 547;24 810;29 923;32 530;35 592;38 178;39 916;6 725;511;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
TIMOR-LESTE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;..;..;14;22;36;44;40;51;58;79;60;62;66;74;75;81;18;6;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
TOGO;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;83;81;94;86;74;150;202;300;235;327;282;273;338;514;573;876;482;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;2;0,9;1;1;1;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
TONGA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;51;60;54;65;65;75;65;68;57;60;66;73;87;87;77;94;12;0;22
;;;Overnights visitors (tourists);;Thousands;41;42;39;46;50;46;47;46;47;48;50;54;59;63;54;67;9;0,2;18,4
;;;Same-day visitors (excursionists);;Thousands;10;18;15;19;15;29;18;22;10;12;15;19;28;24;23;27;3;..;4
;;;;of which, cruise passengers;Thousands;10;18;15;19;15;29;18;22;10;12;15;19;28;24;23;27;3;..;4
TRINIDAD AND TOBAGO;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;501;529;534;531;482;534;490;491;504;467;459;522;498;470;508;482;141;41;253
;;;Overnights visitors (tourists);;Thousands;443;463;461;449;437;419;388;431;455;434;413;440;410;395;376;389;95;41;227
;;;Same-day visitors (excursionists);;Thousands;58;66;73;82;45;115;102;60;49;33;46;82;88;75;132;93;46;1;27
;;;;of which, cruise passengers;Thousands;58;66;73;82;45;115;102;60;49;33;43;80;83;70;126;91;46;..;26
TUNISIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;6 419;6 975;7 176;7 512;7 750;8 507;8 640;6 038;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;5 998;6 378;6 550;6 762;7 050;7 797;7 828;5 746;6 999;7 352;7 163;5 359;5 724;7 052;8 299;9 429;2 012;2 475;6 441
;;;Same-day visitors (excursionists);;Thousands;421;597;626;750;700;710;812;292;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;421;597;626;750;700;710;812;292;..;..;..;..;..;..;..;..;..;..;..
TÜRKIYE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;17 517;21 125;19 820;27 215;31 138;31 760;32 997;36 769;37 715;39 861;41 627;41 114;30 907;37 970;46 113;51 747;15 971;30 039;51 388
;;;Overnights visitors (tourists);;Thousands;16 826;20 273;18 916;26 122;29 792;30 187;31 364;34 654;35 698;37 795;39 811;39 478;30 289;37 601;45 768;51 192;15 894;29 925;50 453
;;;Same-day visitors (excursionists);;Thousands;691;852;903;1 093;1 346;1 573;1 633;2 115;2 017;2 066;1 816;1 636;618;369;345;555;77;114;935
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
TURKMENISTAN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;14,8;11,6;5,6;8,2;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
TURKS AND CAICOS ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;757;865;899;1 010;968;1 069;1 330;1 316;1 296;1 243;1 463;1 599;370;432;..
;;;Overnights visitors (tourists);;Thousands;173;176;248;265;352;351;281;354;292;291;358;386;449;416;441;487;165;405;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;405;514;618;656;677;779;972;930;847;827;1 022;1 112;206;27;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;405;514;618;656;677;779;972;930;847;827;1 022;1 112;206;27;..
TUVALU;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;1,3;1,1;1,1;1,1;1,7;1,6;1,7;1,2;1,1;1,3;1,4;2,4;2,5;2,5;3,1;3,7;0,6;0,04;0,24
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
UGANDA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;512;468;539;642;844;807;946;1 151;1 197;1 206;1 266;1 303;1 323;1 402;1 506;1 543;473;513;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
UKRAINE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;18 583;20 489;21 714;26 162;28 827;24 033;24 114;24 535;25 061;26 025;13 227;13 025;13 734;14 579;14 342;13 710;3 382;4 272;2 307
;;;Overnights visitors (tourists);;Thousands;15 629;17 631;18 936;23 122;25 449;20 798;21 203;21 415;23 013;24 671;12 712;12 428;13 333;14 230;14 104;13 438;3 141;3 973;2 173
;;;Same-day visitors (excursionists);;Thousands;2 954;2 858;2 778;3 040;3 378;3 235;2 911;3 120;2 048;1 354;516;597;401;349;238;273;241;299;134
;;;;of which, cruise passengers;Thousands;36;35;38;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
UNITED ARAB EMIRATES;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;19 313;20 894;21 805;23 092;25 282;8 084;12 784;..
;;;Overnights visitors (tourists);;Thousands;6 195;7 126;..;..;..;..;..;..;..;..;16 232;16 842;18 143;19 168;20 214;21 561;7 165;11 479;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;2 471;2 751;2 637;2 878;3 721;919;1 305;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;58;54;50;50;48;40;26;..
UNITED KINGDOM;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;27 755;29 970;32 713;32 778;31 888;31 072;30 398;31 886;32 221;33 567;35 337;36 792;39 129;41 080;40 283;40 857;11 101;6 384;31 244
;;;Overnights visitors (tourists);;Thousands;25 678;28 039;30 654;30 870;30 142;29 357;28 911;30 384;30 411;31 946;33 604;35 149;37 358;39 543;38 664;39 418;10 714;6 287;30 741
;;;Same-day visitors (excursionists);;Thousands;2 077;1 931;2 059;1 908;1 746;1 715;1 487;1 502;1 810;1 621;1 733;1 643;1 771;1 538;1 619;1 439;387;97;503
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
UNITED STATES OF AMERICA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;67 606;71 484;183 178;175 299;175 703;160 508;162 275;147 271;171 630;179 310;178 311;176 865;175 261;174 292;169 325;165 478;44 792;66 594;..
