countrie;del;total_arrivals;del1;del2;Units;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;106;59;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;26;29;46;77;61;70;71;77;86;97;119;120;98;87;77;79;11;40;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
CHILE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;3 713;3 657;3 584;3 963;4 397;4 457;4 601;5 487;6 712;7 621;6 603;5 431;1 311;192;2 269
;;;Overnights visitors (tourists);;Thousands;1 785;2 027;2 253;2 507;2 710;2 760;2 801;3 137;3 554;3 576;3 674;4 478;5 641;6 450;5 723;4 518;1 119;190;2 030
;;;Same-day visitors (excursionists);;Thousands;1 019;959;957;741;1 003;897;784;826;843;881;926;1 009;1 072;1 171;880;913;191;2;239
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
CHINA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;109 038;120 292;124 942;131 873;130 027;126 476;133 762;135 423;132 405;129 078;128 499;133 820;141 774;153 260;158 606;162 538;27 467;26 380;25 250
;;;Overnights visitors (tourists);;Thousands;41 761;46 809;49 913;54 720;53 049;50 875;55 664;57 581;57 725;55 686;55 622;56 886;59 270;60 740;62 900;65 725;7 967;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
COLOMBIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;840;981;2 096;2 381;2 545;2 649;1 701;2 356;2 434;2 595;2 866;3 371;3 675;4 056;4 398;4 531;1 387;2 146;4 686
;;;Overnights visitors (tourists);;Thousands;791;933;2 045;2 254;2 317;2 364;1 405;2 043;2 180;2 288;2 552;3 099;3 370;3 712;4 020;4 169;1 252;2 127;4 519
;;;Same-day visitors (excursionists);;Thousands;49;48;51;127;228;285;296;313;254;307;314;272;306;345;378;362;134;19;168
;;;;of which, cruise passengers;Thousands;49;48;51;127;228;285;296;313;254;307;314;272;306;345;378;362;134;19;168
COMOROS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;23;26;29;15;15;11;15;19;23;22;23;24;27;28;36;45;7;29;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
